Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Originally_Scheduled_Code_Share_Airline,DOT_ID_Originally_Scheduled_Code_Share_Airline,IATA_Code_Originally_Scheduled_Code_Share_Airline,Flight_Num_Originally_Scheduled_Code_Share_Airline,Operating_Airline ,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,Duplicate,
2026,2,4,18,6,2026-04-18,UA,UA_CODESHARE,19977,UA,6349,,,,,YV,20378,YV,N86347,6349,11481,1148102,31481,ECP,"Panama City, FL",FL,12,Florida,33,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,0630,0623,-7.00,0.00,0.00,-1,0600-0659,13.00,0636,0808,7.00,0834,0815,-19.00,0.00,0.00,-2,0800-0859,0.00,,0.00,124.00,112.00,92.00,1.00,572.00,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
2026,2,4,19,7,2026-04-19,UA,UA_CODESHARE,19977,UA,6351,,,,,YV,20378,YV,N88310,6351,13158,1315805,33158,MAF,"Midland/Odessa, TX",TX,48,Texas,74,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,0500,0453,-7.00,0.00,0.00,-1,0001-0559,8.00,0501,0559,15.00,0634,0614,-20.00,0.00,0.00,-2,0600-0659,0.00,,0.00,94.00,81.00,58.00,1.00,429.00,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
2026,2,4,20,1,2026-04-20,UA,UA_CODESHARE,19977,UA,6353,,,,,YV,20378,YV,N89315,6353,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,12951,1295107,32951,LFT,"Lafayette, LA",LA,22,Louisiana,72,1955,1948,-7.00,0.00,0.00,-1,1900-1959,10.00,1958,2035,5.00,2106,2040,-26.00,0.00,0.00,-2,2100-2159,0.00,,0.00,71.00,52.00,37.00,1.00,201.00,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
2026,2,4,21,2,2026-04-21,UA,UA_CODESHARE,19977,UA,6355,,,,,YV,20378,YV,N88335,6355,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,14685,1468503,34685,SAV,"Savannah, GA",GA,13,Georgia,34,1455,1448,-7.00,0.00,0.00,-1,1400-1459,11.00,1459,1751,7.00,1822,1758,-24.00,0.00,0.00,-2,1800-1859,0.00,,0.00,147.00,130.00,112.00,1.00,851.00,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
2026,2,4,22,3,2026-04-22,UA,UA_CODESHARE,19977,UA,6366,,,,,YV,20378,YV,N88326,6366,14685,1468503,34685,SAV,"Savannah, GA",GA,13,Georgia,34,12264,1226403,30852,IAD,"Washington, DC",VA,51,Virginia,38,0950,0945,-5.00,0.00,0.00,-1,0900-0959,10.00,0955,1110,10.00,1137,1120,-17.00,0.00,0.00,-2,1100-1159,0.00,,0.00,107.00,95.00,75.00,1.00,516.00,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
2026,2,4,23,4,2026-04-23,UA,UA_CODESHARE,19977,UA,6367,,,,,YV,20378,YV,N89357,6367,11193,1119302,33105,CVG,"Cincinnati, OH",KY,21,Kentucky,52,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,1139,1130,-9.00,0.00,0.00,-1,1100-1159,8.00,1138,1243,7.00,1329,1250,-39.00,0.00,0.00,-2,1300-1359,0.00,,0.00,170.00,140.00,125.00,1.00,871.00,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
2026,2,4,24,5,2026-04-24,G4,G4,20368,G4,1811,,,,,G4,20368,G4,233NV,1811,10135,1013507,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,42,Pennsylvania,23,11697,1169707,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33,1341,1340,-1.00,0.00,0.00,-1,1300-1359,13.00,1353,1616,46.00,1627,1702,35.00,35.00,1.00,2,1600-1659,0.00,,0.00,166.00,202.00,143.00,1.00,1041.00,5,0.00,0.00,35.00,0.00,0.00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
2026,2,4,25,6,2026-04-25,AA,AA_CODESHARE,19805,AA,5052,,,,,OH,20397,OH,N705PS,5052,10135,1013507,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,42,Pennsylvania,23,11057,1105704,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1200,1338,98.00,98.00,1.00,6,1200-1259,23.00,1401,1517,9.00,1350,1526,96.00,96.00,1.00,6,1300-1359,0.00,,0.00,110.00,108.00,76.00,1.00,481.00,2,77.00,0.00,0.00,0.00,19.00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
2026,2,4,28,2,2026-04-28,DL,DL_CODESHARE,19790,DL,5453,,,,,9E,20363,9E,N379CA,5453,10135,1013507,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,42,Pennsylvania,23,10397,1039708,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,0633,0629,-4.00,0.00,0.00,-1,0600-0659,18.00,0647,1208,16.00,0853,1224,,,,,0800-0859,0.00,,1.00,140.00,,,1.00,692.00,3,,,,,,,,,1,1.00,355.00,211.00,0.00,AGS,10208,1020803,0851,56.00,51.00,1123,N379CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
2026,2,4,29,3,2026-04-29,AS,AS_CODESHARE,19930,AS,2269,,,,,QX,19687,QX,N629QX,2269,10140,1014006,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,14057,1405703,34057,PDX,"Portland, OR",OR,41,Oregon,92,1847,1849,2.00,2.00,0.00,0,1800-1859,14.00,1903,2046,3.00,2050,2049,-1.00,0.00,0.00,-1,2000-2059,0.00,,0.00,183.00,180.00,163.00,1.00,1111.00,5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
